Gene Symbol,Gene Name,Matrisome Division,Matrisome Category,logFC,Direction,P.Value,adj.P.Val,FDR_Significant (<0.05),Probe ID
ADAMTS2,"ADAM metallopeptidase with thrombospondin type 1 motif, 2",Matrisome-associated,ECM Regulators,2.27016333,UP,0.0224,0.7369,NO,226311_PM_at
CRIM1,cysteine rich transmembrane BMP regulator 1 (chordin-like),Core matrisome,ECM Glycoproteins,-1.532185,DOWN,0.0225,0.73721,NO,228496_PM_s_at
FBLN1,fibulin 1,Core matrisome,ECM Glycoproteins,1.36257833,UP,0.0225,0.73721,NO,201787_PM_at
COCH,"coagulation factor C homolog, cochlin (Limulus polyphemus)",Core matrisome,ECM Glycoproteins,-0.74580983,DOWN,0.023,0.73934,NO,205229_PM_s_at
ELN,elastin,Core matrisome,ECM Glycoproteins,1.89172033,UP,0.0232,0.73936,NO,212670_PM_at
CXCL12,chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1),Matrisome-associated,Secreted Factors,-1.401515,DOWN,0.0232,0.73936,NO,209687_PM_at
COL6A1,"collagen, type VI, alpha 1",Core matrisome,Collagens,0.692145,UP,0.024,0.74981,NO,213428_PM_s_at
ADAM28,ADAM metallopeptidase domain 28,Matrisome-associated,ECM Regulators,0.61917133,UP,0.024,0.74981,NO,208269_PM_s_at
SPOCK1,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1",Core matrisome,Proteoglycans,1.98131,UP,0.0251,0.76366,NO,202363_PM_at
CTSK,cathepsin K,Matrisome-associated,ECM Regulators,2.43695333,UP,0.0256,0.76922,NO,202450_PM_s_at
COL8A2,"collagen, type VIII, alpha 2",Core matrisome,Collagens,1.85791767,UP,0.0258,0.77122,NO,221900_PM_at
LGALS3,"lectin, galactoside-binding, soluble, 3",Matrisome-associated,ECM-affiliated Proteins,-1.33756,DOWN,0.0264,0.77605,NO,208949_PM_s_at
IGFBP3,insulin-like growth factor binding protein 3,Core matrisome,ECM Glycoproteins,-1.07637167,DOWN,0.0269,0.77873,NO,210095_PM_s_at
ANXA6,annexin A6,Matrisome-associated,ECM-affiliated Proteins,-0.93219333,DOWN,0.027,0.77873,NO,200982_PM_s_at
SLIT2,slit homolog 2 (Drosophila),Core matrisome,ECM Glycoproteins,0.87869167,UP,0.0271,0.77893,NO,209897_PM_s_at
EMCN,endomucin,Matrisome-associated,ECM-affiliated Proteins,-0.987875,DOWN,0.0271,0.77893,NO,219436_PM_s_at
MFAP2,microfibrillar-associated protein 2,Core matrisome,ECM Glycoproteins,1.09142667,UP,0.0274,0.78135,NO,203417_PM_at
PLXNA4,plexin A4,Matrisome-associated,ECM-affiliated Proteins,-0.83897833,DOWN,0.0275,0.78181,NO,232317_PM_at
EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Core matrisome,ECM Glycoproteins,-1.276225,DOWN,0.0283,0.78869,NO,201843_PM_s_at
COL4A2,"collagen, type IV, alpha 2",Core matrisome,Collagens,-0.90801,DOWN,0.0286,0.78879,NO,211964_PM_at
IGFBP5,insulin-like growth factor binding protein 5,Core matrisome,ECM Glycoproteins,-2.12923833,DOWN,0.0297,0.79757,NO,203424_PM_s_at
SPON2,"spondin 2, extracellular matrix protein",Core matrisome,ECM Glycoproteins,1.45533,UP,0.0305,0.80209,NO,218638_PM_s_at
SERPINA1,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1",Matrisome-associated,ECM Regulators,0.787334,UP,0.0307,0.80269,NO,211428_PM_at
OGFOD2,2-oxoglutarate and iron-dependent oxygenase domain containing 2,Matrisome-associated,ECM Regulators,0.94807817,UP,0.0319,0.81129,NO,219245_PM_s_at
MUC20,"mucin 20, cell surface associated",Matrisome-associated,ECM-affiliated Proteins,-1.07581667,DOWN,0.0326,0.81737,NO,1558220_PM_at
LOX,lysyl oxidase,Matrisome-associated,ECM Regulators,2.16197,UP,0.0331,0.82192,NO,215446_PM_s_at
MFGE8,milk fat globule-EGF factor 8 protein,Core matrisome,ECM Glycoproteins,1.15391333,UP,0.0332,0.82192,NO,210605_PM_s_at
FGF14,fibroblast growth factor 14,Matrisome-associated,Secreted Factors,1.49400033,UP,0.0345,0.82784,NO,230231_PM_at
ELFN1,extracellular leucine-rich repeat and fibronectin type III domain containing 1,Matrisome-associated,ECM-affiliated Proteins,-1.11648167,DOWN,0.0348,0.82859,NO,229581_PM_at
BMP6,bone morphogenetic protein 6,Matrisome-associated,Secreted Factors,-1.48332,DOWN,0.0352,0.82955,NO,206176_PM_at
CTSB,cathepsin B,Matrisome-associated,ECM Regulators,0.71833667,UP,0.0363,0.83464,NO,213275_PM_x_at
FAM20B,"family with sequence similarity 20, member B",Matrisome-associated,ECM Regulators,-1.051875,DOWN,0.0364,0.83472,NO,202916_PM_s_at
MMP14,matrix metallopeptidase 14 (membrane-inserted),Matrisome-associated,ECM Regulators,2.17859517,UP,0.0365,0.83588,NO,202827_PM_s_at
TSPEAR,chromosome 21 open reading frame 29,Core matrisome,ECM Glycoproteins,0.89494267,UP,0.0375,0.84253,NO,1555048_PM_a_at
SMOC2,SPARC related modular calcium binding 2,Core matrisome,ECM Glycoproteins,0.97185,UP,0.0382,0.84656,NO,243946_PM_at
P4HA2,"prolyl 4-hydroxylase, alpha polypeptide II",Matrisome-associated,ECM Regulators,1.21846333,UP,0.0387,0.8471,NO,202733_PM_at
COL6A2,"collagen, type VI, alpha 2",Core matrisome,Collagens,0.94531667,UP,0.0389,0.84832,NO,213290_PM_at
HYAL2,hyaluronoglucosaminidase 2,Matrisome-associated,ECM Regulators,-0.660022,DOWN,0.0404,0.85582,NO,206855_PM_s_at
SERPINE1,"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1",Matrisome-associated,ECM Regulators,3.0182915,UP,0.0412,0.86207,NO,1568765_PM_at
KITLG,KIT ligand,Matrisome-associated,Secreted Factors,-1.42137183,DOWN,0.0415,0.86361,NO,226534_PM_at
SERPINA3,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3",Matrisome-associated,ECM Regulators,1.28543333,UP,0.0418,0.86493,NO,202376_PM_at
POSTN,"periostin, osteoblast specific factor",Core matrisome,ECM Glycoproteins,2.25361667,UP,0.0423,0.86756,NO,210809_PM_s_at
LGALS12,"lectin, galactoside-binding, soluble, 12",Matrisome-associated,ECM-affiliated Proteins,-0.79102867,DOWN,0.0427,0.86756,NO,223828_PM_s_at
TGM2,"transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)",Matrisome-associated,ECM Regulators,0.9520255,UP,0.0428,0.86756,NO,211003_PM_x_at
ADAMTS1,"ADAM metallopeptidase with thrombospondin type 1 motif, 1",Matrisome-associated,ECM Regulators,1.67115167,UP,0.0453,0.87677,NO,222486_PM_s_at
ACAN,aggrecan,Core matrisome,Proteoglycans,0.79720783,UP,0.0455,0.87767,NO,217161_PM_x_at
INSL3,insulin-like 3 (Leydig cell),Matrisome-associated,Secreted Factors,0.80060833,UP,0.0471,0.88684,NO,1553594_PM_a_at
AMH,anti-Mullerian hormone,Matrisome-associated,Secreted Factors,-0.602321,DOWN,0.0475,0.88813,NO,206516_PM_at
BMP1,bone morphogenetic protein 1,Matrisome-associated,ECM Regulators,0.58817083,UP,0.0484,0.89434,NO,1570383_PM_at
ADAMTS6,"ADAM metallopeptidase with thrombospondin type 1 motif, 6",Matrisome-associated,ECM Regulators,0.79023267,UP,0.0495,0.90075,NO,237411_PM_at
POMZP3,"POM (POM121 homolog, rat) and ZP3 fusion",Core matrisome,ECM Glycoproteins,-0.95845757,DOWN,0.0498,0.90439,NO,204148_PM_s_at
ZP3,zona pellucida glycoprotein 3 (sperm receptor),Core matrisome,ECM Glycoproteins,-0.95845757,DOWN,0.0498,0.90439,NO,204148_PM_s_at
MUC3A,"mucin 3A, cell surface associated",Matrisome-associated,ECM-affiliated Proteins,-1.11806667,DOWN,0.0499,0.90481,NO,217054_PM_at
