ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene_clean,Matrisome Division,Matrisome Category,Gene Name
244194_PM_at,0.64738,0.015,-2.98,-2.928281,-0.63180767,ADAM22,ADAM metallopeptidase domain 22,ADAM22,Matrisome-associated,ECM Regulators,ADAM metallopeptidase domain 22
227995_PM_at,0.655,0.0155,2.96,-2.957347,0.98353833,PLXDC2,plexin domain containing 2,PLXDC2,Matrisome-associated,ECM-affiliated Proteins,plexin domain containing 2
216333_PM_x_at,0.6565,0.0158,-2.95,-2.975631,-1.90377667,TNXB,tenascin XB,TNXB,Core matrisome,ECM Glycoproteins,tenascin XB
202598_PM_at,0.6565,0.0158,-2.95,-2.977192,-0.95649667,S100A13,S100 calcium binding protein A13,S100A13,Matrisome-associated,Secreted Factors,S100 calcium binding protein A13
231511_PM_at,0.65675,0.0159,2.95,-2.984354,0.673155,FRAS1,Fraser extracellular matrix complex subunit 1,FRAS1,Core matrisome,ECM Glycoproteins,Fraser syndrome 1
229900_PM_at,0.65724,0.0162,2.93,-3.001697,0.96097667,CD109,CD109 molecule,CD109,Matrisome-associated,ECM Regulators,CD109 molecule
209270_PM_at,0.65724,0.0162,-2.94,-2.998658,-0.80779817,LAMB3,laminin subunit beta 3,LAMB3,Core matrisome,ECM Glycoproteins,"laminin, beta 3"
215775_PM_at,0.65724,0.0162,2.93,-3.002021,2.079993,THBS1,thrombospondin 1,THBS1,Core matrisome,ECM Glycoproteins,thrombospondin 1
213942_PM_at,0.66047,0.0165,2.92,-3.019333,1.4137225,MEGF6,multiple EGF like domains 6,MEGF6,Matrisome-associated,Secreted Factors,multiple EGF-like-domains 6
219500_PM_at,0.66137,0.0166,2.92,-3.026276,0.76089283,CLCF1,cardiotrophin-like cytokine factor 1,CLCF1,Matrisome-associated,Secreted Factors,cardiotrophin-like cytokine factor 1
202687_PM_s_at,0.66137,0.0166,-2.92,-3.024117,-1.87084333,TNFSF10,tumor necrosis factor superfamily member 10,TNFSF10,Matrisome-associated,Secreted Factors,"tumor necrosis factor (ligand) superfamily, member 10"
210511_PM_s_at,0.66137,0.017,2.91,-3.045178,2.517965,INHBA,inhibin beta A subunit,INHBA,Matrisome-associated,Secreted Factors,"inhibin, beta A"
221009_PM_s_at,0.67053,0.0178,-2.88,-3.089239,-1.71935883,ANGPTL4,angiopoietin like 4,ANGPTL4,Matrisome-associated,Secreted Factors,angiopoietin-like 4
201286_PM_at,0.69164,0.0191,2.84,-3.15475,0.9774825,SDC1,syndecan 1,SDC1,Matrisome-associated,ECM-affiliated Proteins,syndecan 1
