"gene_symbol","module_color","MM","MM_pvalue","GS","GS_pvalue"
"TREM1","salmon",0.899604545626629,0.00234311770974379,0.544064910687213,0.163310219196895
"CYP1B1","salmon",0.599084501818269,0.116544309596676,0.546636711840616,0.160929843189572
"THY1","salmon",0.783001735734499,0.0215681580049951,0.836597090278008,0.00961431781207781
"SYAP1","salmon",0.919358184154305,0.00123303947624354,0.633779384323165,0.0915352046245971
"GJB2","salmon",0.867178167955541,0.00528993729770566,0.861395835402875,0.00598403352899851
"FPR1","salmon",0.912836610386611,0.00154920932350166,0.747415102306343,0.0330404140372697
"SERPINH1","salmon",0.907091547145213,0.00186784763315619,0.882475193075476,0.00370886246788247
"FCGBP","salmon",0.731994258803511,0.0389703093678024,0.766411021875076,0.0265422855055184
"HBEGF","salmon",0.879557307548391,0.00398292285352356,0.557032163704247,0.15150202974967
"EGR2","salmon",0.945015708359917,0.000398631851456864,0.62305065317765,0.0989006725203872
"VDR","salmon",0.739616007273621,0.0359647933121482,0.765941157107651,0.0266925374375493
"PDE4B","salmon",0.7843889696372,0.0211809673946533,0.420895252049688,0.299071497656222
"C1orf144","salmon",0.763423724691378,0.0275064971263722,0.616772901356661,0.103362965864518
"SRPR","salmon",0.730045836925884,0.0397623164284349,0.579198777950598,0.13243910422794
"OLFML2B","salmon",0.736264917004529,0.0372681389788277,0.72406648429096,0.0422535920295592
"HIF1A","salmon",0.934448032677607,0.000670034444810247,0.868483440978474,0.00514078129261086
"CNN1","salmon",0.523362212645925,0.183162640512248,0.913094587610391,0.00153580085712373
"ADAMTSL4","salmon",0.700161066199614,0.0531452347556016,0.277400852984993,0.505940337695544
"SYNJ2","salmon",0.682654392015343,0.0620887238702626,0.786733195341538,0.0205365612970935
"ITGA11","salmon",0.785587356158191,0.0208499931442516,0.443047419154854,0.271592365478957
"SLC19A2","salmon",0.734772979662987,0.0378575254706248,0.40542341349957,0.319021987879791
"TMEM2","salmon",0.881451477344819,0.00380358185397719,0.895898167098574,0.00260480475134428
"REL","salmon",0.793919209304956,0.0186378227578123,0.783406897953101,0.0214546219620781
"BASP1","salmon",0.718331044966045,0.0447300171174052,0.762166804465424,0.0279185566294479
